Date,A. sp.,A. tamarense,D. acuta,D. acuminata,D. norvegica,Pn. sp.,P. reticulatum,A. spinosum,sst,par,mld,sss,Region
2018-04-23,0,0,0,80,640,5200,0,0,6.61047587027917,22.7068068106969,21.400413170839,33.2971777304625,Bømlo
2018-04-30,0,0,0,40,160,0,0,0,7.60082411154723,29.2509994824727,6.40929746627808,33.0204111735026,Bømlo
2018-05-07,0,0,0,0,0,200,0,0,7.72539500701122,29.0097204566002,4.96340427643214,33.0874742361215,Bømlo
2018-05-14,0,0,0,0,40,240,0,0,11.2049908271203,39.6962080637614,2.97554564476013,32.6161937224559,Bømlo
2018-05-22,0,0,0,40,240,40,0,0,9.7243474813608,50.7735622882843,5.15123344079042,32.8246726011619,Bømlo
2018-05-28,0,0,0,0,40,0,0,0,12.8546606699626,55.279029750824,2.97554564476013,32.5247529836801,Bømlo
2018-06-04,0,0,0,0,0,0,0,0,13.9499547420404,57.9417635997136,3.70534017147162,32.2765155694424,Bømlo
2018-06-11,0,0,0,0,0,0,0,0,11.6599788665771,53.057984550794,6.00429089864095,32.5365903805464,Bømlo
2018-06-18,0,0,0,0,100,0,0,0,12.0129837867541,34.4279330968857,6.40929746627808,32.2621870774489,Bømlo
2018-07-02,40,0,0,0,200,30520,0,0,12.9382107318976,55.5032428701719,2.97554564476013,32.8933731470353,Bømlo
2018-07-09,80,0,0,0,40,81270.6126665397,0,0,9.8156645603669,57.256852722168,9.2423874659416,33.4919062883426,Bømlo
2018-07-16,0,80,0,40,1520,43259.7308399315,0,0,11.694403721736,48.315784740448,3.58990352581709,33.1664677155323,Bømlo
2018-07-23,0,0,0,0,1080,80623.9759065474,0,0,15.2902860641479,40.1711563428243,2.97554564476013,32.9155776195037,Bømlo
2018-07-30,80,0,0,0,320,5320,0,0,16.2301168686304,34.3584124128024,9.406737889999,32.5547167460124,Bømlo
2018-08-06,0,0,0,0,40,0,0,0,17.0066242218018,29.4639254013697,10.1482715606689,32.2205320504995,Bømlo
2018-08-13,0,0,0,0,0,0,0,0,17.5738497024927,28.1192139585813,5.10427615581415,32.0547948983999,Bømlo
2018-08-20,0,0,0,0,0,0,0,0,16.6096668732472,28.9475148200989,13.523327485109,32.1416621085925,Bømlo
2018-08-27,0,0,0,0,0,160,0,0,16.4702142568735,25.1407566865285,13.8696375382252,31.7772625165108,Bømlo
2018-09-03,0,0,0,0,0,680,0,0,15.8344639509152,28.5436062733332,20.1462624378693,31.3276920318604,Bømlo
2018-09-10,0,40,0,0,0,720,0,0,16.1450701982547,20.5583008170128,23.2395738454965,30.7007612081674,Bømlo
